Unnamed: 0,DateTime,Home Team,Away Team,VERSUS,League,Home Goals RR,Away Goals RR,Home Corners RR,Away Corners RR,Home Shots RR,Away Shots RR,Home SOT RR,Away SOT RR,Home Fouls RR,Away Fouls RR,Home Corners H4H_W,Home Corners H4H_D,Home Corners H4H_L,Away Corners A4A_W,Away Corners A4A_D,Away Corners A4A_L,TE_Home H4H,TE_Awa y A4A,TE_Home H4H Baja,TE_Away A4A Baja,Bet For H4A,BET LINE,HW ODDS,DRW ODDS,AW ODDS,CNT CORNERS HW,CNT CORNERS HD,CNT CORNERS HL,CNT CORNERS AW,CNT CORNERS AD,CNT CORNERS AL,AVG H4H CORNERS GEN,AVG H4H CORNERS CONCEDED,AVG A4A CORNERS GEN,AVG A4A CORNERS CONCEDED,AVG H4H SHOTS,AVG H4H SOT,AVG H4H SHOTS OFF,AVG H4H FOULS WON,AVG A4A SHOTS,AVG A4A SOT,AVG A4A SHOTS OFF,AVG A4A FOULS WON,Home HT Goals RR,Away HT Goals RR
0,2024-11-01 17:00:00,Gazişehir Gaziantep,Göztepe,Gazişehir Gaziantep VS. Göztepe,Turkey Super Lig,1.4110633,1.1325613,4.770203,4.026897,12.128929,11.682452,4.952017,5.0358615,10.804895,11.175492,6.0,4.5,4.5,3.5,2.0,2.0,0.75,0.25,0.875,0.375,7,9.5,2.35,3.1,2.88,7,8,8,8,5,5,6.5,3.0,3.0,4.0,10.0,5.0,6.0,12.0,9.0,4.0,6.0,15.0,0.63533694,0.59306073
1,2024-11-01 17:30:00,Preußen Münster,Fortuna Düsseldorf,Preußen Münster VS. Fortuna Düsseldorf,Germany Bundesliga 2,1.256834,1.2720882,4.783471,3.750578,13.153639,11.630599,5.490171,4.951302,11.003871,11.122638,6.0,6.5,5.5,4.5,4.0,7.0,0.625,0.5,0.625,0.625,10,10.5,3.55,3.65,1.92,8,8,4,8,6,3,6.0,4.0,5.5,5.0,12.0,6.0,5.0,10.0,10.5,5.0,5.5,10.0,0.63990706,0.5237157
2,2024-11-01 17:30:00,Ulm,Schalke 04,Ulm VS. Schalke 04,Germany Bundesliga 2,1.7390635,1.2142327,4.7274027,3.655313,13.892927,11.475818,6.0121393,4.895644,9.9604225,10.6941805,6.0,5.0,5.5,4.5,5.5,4.0,0.5,0.5,0.625,0.625,9,9.5,2.63,3.15,2.63,8,5,6,4,4,8,5.5,5.5,4.0,5.5,10.5,5.5,5.0,14.0,13.0,6.0,7.0,12.0,0.7600826,0.4563405
3,2024-11-01 18:00:00,Monaco,Angers SCO,Monaco VS. Angers SCO,France League 1,1.5842634,1.2980694,5.7826037,4.885661,12.845806,9.319459,5.987376,4.760958,10.8681965,12.398007,6.0,7.0,5.5,3.0,6.0,5.5,0.375,0.5,0.625,0.5,9,9.5,1.2,6.5,13.0,8,5,4,7,7,8,6.0,4.0,4.0,3.0,13.0,7.0,6.0,12.0,11.0,6.0,5.0,11.0,0.7459018,0.71161044
4,2024-11-01 19:00:00,AZ II,Cambuur,AZ II VS. Cambuur,Netherlands Eerste Divisie,1.9783645,1.506334,3.826216,5.5664206,14.834448,11.703798,6.9275804,5.2507854,10.277239,11.439219,4.0,5.0,4.5,6.5,2.0,5.5,0.625,0.625,0.625,0.625,11,10.5,2.88,3.75,2.06,8,3,8,8,2,8,6.0,4.5,7.0,3.5,12.0,7.0,5.0,12.0,13.0,6.0,6.0,13.0,0.74771196,0.76866835
5,2024-11-01 19:00:00,De Graafschap,Dordrecht,De Graafschap VS. Dordrecht,Netherlands Eerste Divisie,1.4825448,1.3493925,5.7539415,4.92784,12.967666,11.46714,5.9716783,5.1842837,10.867402,10.670704,6.0,4.0,8.0,5.5,3.5,5.0,0.0,0.75,0.125,0.75,7,10.5,1.72,4.1,3.65,8,5,5,8,8,6,4.0,2.5,6.5,5.5,14.0,7.0,6.0,9.0,14.0,6.0,7.0,11.5,0.61582583,0.5870829
6,2024-11-01 19:00:00,Ajax II,VVV,Ajax II VS. VVV,Netherlands Eerste Divisie,1.4676927,1.058928,4.5163927,5.3793364,13.299377,10.5470705,5.490796,4.605704,10.866066,11.22518,3.5,4.5,2.5,5.5,4.0,3.5,0.5,0.25,0.5,0.5,8,10.5,2.12,3.5,2.95,8,8,8,4,7,8,4.5,4.0,4.0,5.0,10.5,6.0,5.0,11.0,13.0,7.0,6.0,11.0,0.671437,0.4710263
7,2024-11-01 19:00:00,Eindhoven,ADO Den Haag,Eindhoven VS. ADO Den Haag,Netherlands Eerste Divisie,1.554493,1.3190627,4.9006953,3.998298,12.557742,13.404954,5.6010075,5.427154,11.976609,12.589424,3.5,3.5,5.0,5.5,6.0,7.0,0.5,0.375,0.5,0.5,10,10.5,3.75,3.75,1.77,4,8,8,8,8,5,3.0,4.5,5.0,4.5,11.0,5.0,5.0,11.0,9.5,5.0,4.0,13.0,0.66373146,0.56931776
8,2024-11-01 19:30:00,Bayer Leverkusen,Stuttgart,Bayer Leverkusen VS. Stuttgart,Germany Bundesliga 1,2.2308502,1.1225955,8.727675,3.7133453,15.858306,9.703379,7.284088,4.4389377,10.48928,11.22518,7.5,10.0,18.0,3.5,2.5,3.5,0.5,0.125,0.5,0.375,8,10.5,1.52,4.7,5.1,8,4,1,8,2,8,7.5,2.0,3.0,5.5,16.0,9.0,7.0,8.0,10.0,5.0,6.0,12.0,0.8065593,0.574223
9,2024-11-01 19:45:00,KVC Westerlo,FCV Dender EH,KVC Westerlo VS. FCV Dender EH,Belgium First Division,1.8446716,1.5577955,4.9006953,3.712164,14.639043,11.844419,6.4145546,5.2034793,10.836648,11.175492,4.0,7.0,6.0,4.0,6.0,5.0,0.875,0.25,0.875,0.5,8,9.5,1.74,3.75,3.95,7,7,8,8,6,4,6.5,5.5,3.0,4.5,12.0,5.0,7.0,12.0,11.0,5.0,5.5,13.0,0.7411583,0.62555563
